task_id,model_id,rule_id,run_id,score,comment
task_003,gpt-4o,strict-style,00d5b2a9-e11e-43b2-adc3-eaab7af2baa1,,
task_010,gpt-4o-mini,minimal,04b70f90-aa88-4b2f-b524-8b8ecdb675cd,,
task_002,gpt-4o-mini,strict-style,08587fe4-5495-49bc-be15-1ff435a56489,,
task_007,gpt-4o-mini,strict-style,0b23599a-696c-4880-bd9b-d7428b874d7f,,
task_007,gpt-4o,strict-style,0d4549e7-3cab-4671-8cb7-1df88176bed3,,
task_005,gpt-4o-mini,strict-style,0f1d812f-8d10-4955-a577-3776c36829f2,,
task_006,gpt-4o,default,0fc64f03-d673-46f9-b6c8-f180e2a5544e,,
task_007,claude-sonnet,default,11c54f73-5b38-49d4-b93c-da0822a939f5,,
task_004,claude-sonnet,strict-style,15d4f952-f7e1-4f19-8353-52b7b66aa466,,
task_001,gpt-4o,default,16bfa8d1-6cf5-48aa-a985-490423125de9,,
task_002,claude-sonnet,minimal,174fcfea-d9ef-4f8a-af49-eadc93818da1,,
task_002,gpt-4o,strict-style,183ec779-0751-47d5-8bab-b3bbebae95fc,,
task_009,gpt-4o-mini,default,19d5899f-6fd6-4769-b4e5-3235eddb8666,,
task_005,gpt-4o-mini,default,1ebdb845-2362-4788-a86a-8f30cb84cb6b,,
task_009,claude-sonnet,minimal,20873224-7756-44d5-b873-e951efa43e33,,
task_001,claude-sonnet,default,21c1e3bf-816d-4381-933c-5e7d1f2f5ea8,,
task_008,gpt-4o,minimal,29cc4be3-b041-4a87-a39d-ace616ad4189,,
task_008,gpt-4o,default,300b90aa-f439-4d71-8a10-1348301aed4d,,
task_006,claude-sonnet,minimal,3106b0a7-6a95-413b-834f-d18a065a408b,,
task_006,gpt-4o-mini,strict-style,3203fa9f-c3c2-44e5-b504-997364063aff,,
task_005,gpt-4o,default,32f0508d-101c-4cd1-8935-d925fcdbe7f8,,
task_005,claude-sonnet,minimal,3382dbb6-a2a2-4be9-b1ed-963427ae0151,,
task_001,gpt-4o,minimal,366cc9f0-8911-4424-b45f-e6c4bc2b9259,,
task_004,gpt-4o-mini,minimal,385ca743-9c5f-4ae4-8977-5b9d1f9503e0,,
task_005,gpt-4o,minimal,3a14ac8c-d6bf-4979-8ef5-d5811357a3da,,
task_002,claude-sonnet,default,3c42f1ac-90e5-475f-ba26-cd1cd7ee426e,,
task_005,gpt-4o-mini,minimal,3d071b97-03e3-4a83-9524-195a24e34628,,
task_003,claude-sonnet,default,3ded1fe4-392c-4b4d-87b9-ba6cafb5a836,,
task_003,claude-sonnet,minimal,3f2a6b0b-7aff-4f00-aa17-f9bead5b3d8c,,
task_004,claude-sonnet,minimal,4017efad-d162-4c38-8301-8d593e1dc5fd,,
task_004,gpt-4o-mini,default,4051ff44-72e9-4852-a10c-c4c8bbfd178b,,
task_010,gpt-4o,default,4356a08b-f6ff-4750-b3d5-b397f33f4525,,
task_007,gpt-4o,default,474a21d1-3f2f-469a-a4b0-a89def05571f,,
task_005,gpt-4o,strict-style,47886394-9f12-4672-8ee7-efec96d4d755,,
task_002,claude-sonnet,strict-style,483dba1d-1e63-42b2-8b74-0b0ac8000a8d,,
task_010,claude-sonnet,strict-style,495f1f59-cf29-4f8e-9f1f-52861c275929,,
task_010,claude-sonnet,minimal,4f9cbd2b-f669-46b7-819c-4a0b6d38d55c,,
task_003,gpt-4o-mini,strict-style,515f96f2-2788-4e93-a85d-9a215c8abacb,,
task_001,gpt-4o-mini,strict-style,563881ae-be56-4f6a-a173-682a17c513f7,,
task_001,claude-sonnet,minimal,5764fce4-1c81-49db-b001-0d70cb01663d,,
task_003,claude-sonnet,strict-style,58fb37eb-fa22-4b41-b073-0598b3b60a62,,
task_008,gpt-4o-mini,minimal,5d4dc016-564d-451c-9a9b-5b74cf3470e6,,
task_005,claude-sonnet,strict-style,602ed89f-501a-4aa5-b39b-734a7c2cf694,,
task_010,gpt-4o-mini,strict-style,603cfe40-8a2c-491a-aebf-d3e352fd578b,,
task_002,gpt-4o,minimal,617f4bc7-2535-4412-a69e-eb5776a9a355,,
task_006,claude-sonnet,strict-style,6666b07d-d761-4677-a9d1-150a92758480,,
task_001,gpt-4o-mini,minimal,67afc411-7b6b-4e0b-9862-41911e3d111a,,
task_008,claude-sonnet,default,695fd3fe-8f06-4d80-a901-adeb51e19dcd,,
task_006,gpt-4o-mini,minimal,6e5c794a-f92e-4889-ad0c-0686a36f7e6d,,
task_004,gpt-4o,strict-style,6ee340d1-2705-4184-99f6-594522c2206a,,
task_010,gpt-4o,strict-style,727699c1-0f3b-4356-bbef-9d7e4886285d,,
task_009,gpt-4o,default,736cbcb9-8b7f-4014-980e-717c5d25a81b,,
task_007,claude-sonnet,strict-style,754b86e8-0cd6-4ed7-9065-f0969f958578,,
task_006,gpt-4o,minimal,7926ce42-1821-4cee-83e9-ec2aee7bf456,,
task_009,gpt-4o-mini,strict-style,7f3d8a3b-746f-4b3b-a0ea-306e60ad4eaf,,
task_005,claude-sonnet,default,82c64044-b20c-4743-a5d3-6369ec17c870,,
task_001,claude-sonnet,strict-style,861f249f-5854-4833-9391-b1280cdf755a,,
task_004,gpt-4o-mini,strict-style,86abc49f-0d70-4f33-90ae-18a61ce55ab4,,
task_003,gpt-4o,minimal,8e10fcb5-372d-43db-9c96-6525662febda,,
task_004,gpt-4o,minimal,927a7a3c-daa1-4b5a-80f5-11cb66e24468,,
task_008,gpt-4o,strict-style,92bc7e47-91e6-43b9-9ff7-aadeaf572e9c,,
task_006,gpt-4o-mini,default,970f0ad7-e79f-40b1-a955-2c3d15d0d30c,,
task_008,gpt-4o-mini,strict-style,a163b4e0-dac3-4a06-a05a-fa2d3ba3f872,,
task_003,gpt-4o,default,a2746a66-a876-4163-8dba-4e775ab12897,,
task_007,gpt-4o-mini,minimal,a4e419a6-f289-4bb3-a681-26f68997f79e,,
task_002,gpt-4o-mini,minimal,ac2e4ee2-8c9a-4618-9985-3595fa3f6448,,
task_006,claude-sonnet,default,b1483e9e-20c1-40ee-b4a7-adb7dc12a2e5,,
task_007,claude-sonnet,minimal,b3485774-897a-42ff-9372-23f62a1d06a2,,
task_003,gpt-4o-mini,minimal,b4a0c03e-b637-4425-acd4-be5a39b310ef,,
task_008,gpt-4o-mini,default,b79ed562-18cf-4a3d-ab05-2ba8ea4f2685,,
task_006,gpt-4o,strict-style,b8eef50f-8445-4f82-8c42-c0638bd61bea,,
task_009,claude-sonnet,strict-style,bc4c7138-3062-428a-a843-d737d33e5bad,,
task_007,gpt-4o-mini,default,bee93483-4d78-4e37-b781-0bdc06b4492f,,
task_004,claude-sonnet,default,c03e5f3d-f584-44bb-8c06-634840695369,,
task_010,claude-sonnet,default,cbb82d3d-ff37-4aac-bdf6-38942082d7e2,,
task_010,gpt-4o-mini,default,ccfcbd31-a204-457d-bd44-619b70c62e95,,
task_001,gpt-4o-mini,default,d4a41e86-169b-4ccc-ab89-ff9d0a0a4f40,,
task_009,gpt-4o,minimal,d639d7db-eef5-475b-bb68-3c42d0e86ca7,,
task_004,gpt-4o,default,db2776c7-8de1-4a93-b01f-220e52adacd0,,
task_007,gpt-4o,minimal,dd06fa3a-0aff-416d-b3d1-e343cb11e83b,,
task_009,gpt-4o,strict-style,df625653-4d87-4d38-b247-f5e455966cff,,
task_009,gpt-4o-mini,minimal,e043c7b7-e8c6-497e-985a-0f809b4ca859,,
task_002,gpt-4o-mini,default,e27d3509-2c32-4a32-851b-d15633f8d1cf,,
task_008,claude-sonnet,strict-style,e7bc90c5-c800-4ec7-b547-8a0f6a8f5f96,,
task_002,gpt-4o,default,e9e6ef34-2f45-49ea-acdb-0e0641ed90cb,,
task_010,gpt-4o,minimal,eb800a24-560a-41bd-87b3-794016b04a3b,,
task_003,gpt-4o-mini,default,f2f1ea77-7efa-4c13-a250-89f87a783491,,
task_001,gpt-4o,strict-style,f309b9b7-f500-4607-97d5-2d00300e7edb,,
task_008,claude-sonnet,minimal,fc976f01-c708-4037-a3fc-97a287c2858d,,
task_009,claude-sonnet,default,fec35500-8ba5-4fbf-b78e-ed4adc66d4f7,,
task_001,gpt-4o-mini,default,sample_run_001,,
task_002,gpt-4o-mini,minimal,sample_run_002,,
